flight path,fligh direction,acquisition numbers,start time,end time
1,W – E,04 / 78 – 04 / 127,10:15:00,10:40:00
2,W – E,05 / 01 – 05 / 56,10:15:00,10:40:00
3,W – E,06 / 01 – 06 / 48,08:55:00,09:20:00
4,W – E,07 / 01 – 07 / 20,09:30:00,09:45:00
5,W – E,05 / 167 – 05 / 187,08:55:00,09:10:00
6,W – E,07 / 67 – 07 / 82,10:50:00,11:00:00
7,E – W,06 / 49 – 06 / 95,09:35:00,10:05:00
8,E – W,05 / 57 – 05 / 103,10:20:00,10:50:00
9,E – W,04 / 128 – 04 / 176,10:50:00,11:10:00
10,W – E,08 / 01 – 08 / 27,09:05:00,09:20:00
11,W – E,06 / 96 – 06 / 139,10:25:00,10:45:00
